state/ut,district,year,murder,attempt_to_murder,culpable_homicide_not_amounting_to_murder,rape,custodial_rape,other_rape,kidnapping_&_abduction,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,preparation_and_assembly_for_dacoity,robbery,burglary,theft,auto_theft,other_theft,riots,criminal_breach_of_trust,cheating,counterfieting,arson,hurt/grevious_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_countries,causing_death_by_negligence,other_ipc_crimes,total_ipc_crimes
ANDHRA PRADESH,ADILABAD,2001,101,60,17,50,0,50,46,30,16,9,0,41,198,199,22,177,78,16,104,1,30,1131,16,149,34,175,0,181,1518,4154
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,6,56,0,56,67,49,18,27,1,50,218,392,54,338,220,25,243,5,33,1392,62,414,81,224,0,322,1726,5811
ANDHRA PRADESH,KHAMMAM,2001,93,60,1,47,0,47,41,30,11,1,0,13,172,368,34,334,153,35,130,5,73,1026,17,180,336,172,0,209,1450,4582
ANDHRA PRADESH,MEDAK,2001,101,56,12,35,0,35,26,20,6,27,0,26,219,286,36,250,100,17,87,4,37,1367,26,100,25,192,0,335,454,3532
ANDHRA PRADESH,NALGONDA,2001,122,60,1,35,0,35,27,19,8,6,0,28,133,318,43,275,220,13,122,8,72,1132,31,188,59,214,0,432,1781,5002
ANDHRA PRADESH,NIZAMABAD,2001,106,49,14,21,0,21,38,21,17,7,0,22,158,234,48,186,51,61,122,1,30,1383,19,55,15,228,0,220,787,3621
ANDHRA PRADESH,WARANGAL,2001,158,79,5,53,0,53,81,25,56,2,0,23,266,418,79,339,330,6,137,2,0,1718,52,241,0,165,0,269,2314,6319
ANDHRA PRADESH,ADILABAD,2002,100,79,17,37,0,37,42,32,10,7,0,40,193,226,32,194,80,25,135,0,38,1181,20,174,63,240,0,225,1753,4675
ANDHRA PRADESH,KARIMNAGAR,2002,160,88,6,99,0,99,62,42,20,18,0,60,216,404,94,310,191,44,357,2,52,2671,45,357,125,209,0,416,1504,7086
ANDHRA PRADESH,KHAMMAM,2002,106,55,1,48,0,48,70,55,15,5,0,11,164,431,79,352,107,76,219,1,52,2204,13,191,375,324,0,276,917,5646
ANDHRA PRADESH,MEDAK,2002,103,50,20,68,0,68,46,38,8,18,0,35,272,356,39,317,64,22,105,2,57,1612,25,103,28,251,0,417,554,4208
ANDHRA PRADESH,NALGONDA,2002,109,53,8,41,0,41,46,37,9,5,0,18,167,321,45,276,87,26,184,6,78,1139,37,232,67,210,0,490,1966,5290
ANDHRA PRADESH,NIZAMABAD,2002,93,42,12,35,0,35,29,21,8,13,0,30,179,338,66,272,46,33,138,1,39,1934,17,71,24,278,0,274,791,4417
ANDHRA PRADESH,WARANGAL,2002,131,72,11,52,0,52,72,58,14,7,0,20,245,413,56,357,240,41,175,5,0,1812,45,212,0,157,0,317,2370,6397
ANDHRA PRADESH,ADILABAD,2003,107,65,11,35,0,35,46,16,30,8,0,24,207,284,35,249,98,19,146,1,42,1194,11,141,39,238,0,248,1917,4881
ANDHRA PRADESH,KARIMNAGAR,2003,153,105,11,88,0,88,89,67,22,12,1,43,261,460,18,442,180,46,376,10,48,2771,53,362,132,602,1,363,1542,7709
ANDHRA PRADESH,KHAMMAM,2003,89,44,6,45,0,45,41,35,6,6,0,8,211,364,86,278,120,32,144,8,45,2246,17,162,246,180,0,339,826,5179
